Element,Unit,Item,Year,Value
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1998,22168
Import Quantity,t,"Meat of ducks, fresh or chilled",1999,3845
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1999,8562
Export Quantity,t,"Meat of ducks, fresh or chilled",1999,8520
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1999,18556
Import Quantity,t,"Meat of ducks, fresh or chilled",2000,5285
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2000,9795
Export Quantity,t,"Meat of ducks, fresh or chilled",2000,8163
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2000,15106
Import Quantity,t,"Meat of ducks, fresh or chilled",2001,5734
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2001,10926
Export Quantity,t,"Meat of ducks, fresh or chilled",2001,7483
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2001,15434
Import Quantity,t,"Meat of ducks, fresh or chilled",2002,5964
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2002,13039
Export Quantity,t,"Meat of ducks, fresh or chilled",2002,7503
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2002,16937
Import Quantity,t,"Meat of ducks, fresh or chilled",2003,5426
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2003,13213
Export Quantity,t,"Meat of ducks, fresh or chilled",2003,6452
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2003,16939
Import Quantity,t,"Meat of ducks, fresh or chilled",2004,8696
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2004,21948
Export Quantity,t,"Meat of ducks, fresh or chilled",2004,4897
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2004,14110
Import Quantity,t,"Meat of ducks, fresh or chilled",2005,7568
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2005,22055
Export Quantity,t,"Meat of ducks, fresh or chilled",2005,5471
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2005,16157
Import Quantity,t,"Meat of ducks, fresh or chilled",2006,8825
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2006,26074
Export Quantity,t,"Meat of ducks, fresh or chilled",2006,5330
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2006,14235
Import Quantity,t,"Meat of ducks, fresh or chilled",2007,8835
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2007,29648
Export Quantity,t,"Meat of ducks, fresh or chilled",2007,4586
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2007,13733
Import Quantity,t,"Meat of ducks, fresh or chilled",2008,8900
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2008,31240
Export Quantity,t,"Meat of ducks, fresh or chilled",2008,5225
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2008,16988
Import Quantity,t,"Meat of ducks, fresh or chilled",2009,6312
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2009,20922
Export Quantity,t,"Meat of ducks, fresh or chilled",2009,4348
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2009,14288
Import Quantity,t,"Meat of ducks, fresh or chilled",2010,7148
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2010,23237
Export Quantity,t,"Meat of ducks, fresh or chilled",2010,4694
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2010,15328
Import Quantity,t,"Meat of ducks, fresh or chilled",2011,7827
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2011,25253
Export Quantity,t,"Meat of ducks, fresh or chilled",2011,5303
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2011,17223
Import Quantity,t,"Meat of ducks, fresh or chilled",2012,3092
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2012,21540
Export Quantity,t,"Meat of ducks, fresh or chilled",2012,1528
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2012,3854
Import Quantity,t,"Meat of ducks, fresh or chilled",2013,12189
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2013,48324
Export Quantity,t,"Meat of ducks, fresh or chilled",2013,5771
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2013,19728
Import Quantity,t,"Meat of ducks, fresh or chilled",2014,12395.27
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2014,46057
Export Quantity,t,"Meat of ducks, fresh or chilled",2014,3969.74
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2014,14137
Import Quantity,t,"Meat of ducks, fresh or chilled",2015,11182.46
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2015,39935
Export Quantity,t,"Meat of ducks, fresh or chilled",2015,5065.11
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2015,14986
Import Quantity,t,"Meat of ducks, fresh or chilled",2016,10538.52
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2016,34102
Export Quantity,t,"Meat of ducks, fresh or chilled",2016,7123.07
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2016,18363
Import Quantity,t,"Meat of ducks, fresh or chilled",2017,10252.87
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2017,37911
Export Quantity,t,"Meat of ducks, fresh or chilled",2017,5935.07
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2017,14113
Import Quantity,t,"Meat of ducks, fresh or chilled",2018,10693.21
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2018,36994
Export Quantity,t,"Meat of ducks, fresh or chilled",2018,7611.71
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2018,20428
Import Quantity,t,"Meat of ducks, fresh or chilled",2019,10915.81
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2019,33694
Export Quantity,t,"Meat of ducks, fresh or chilled",2019,6000.43
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2019,15548
Import Quantity,t,"Meat of ducks, fresh or chilled",2020,9836.13
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2020,28091
Export Quantity,t,"Meat of ducks, fresh or chilled",2020,4330.18
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2020,10823
Import Quantity,t,"Meat of ducks, fresh or chilled",2021,14755.51
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2021,49294
Export Quantity,t,"Meat of ducks, fresh or chilled",2021,634.07
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2021,2535
Import Quantity,t,"Meat of ducks, fresh or chilled",2022,20069.85
Import Value,1000 USD,"Meat of ducks, fresh or chilled",2022,86895
Export Quantity,t,"Meat of ducks, fresh or chilled",2022,258.26
Export Value,1000 USD,"Meat of ducks, fresh or chilled",2022,700
Import Quantity,t,"Meat of goat, fresh or chilled",1961,0
Import Value,1000 USD,"Meat of goat, fresh or chilled",1961,0
Export Quantity,t,"Meat of goat, fresh or chilled",1961,0
Export Value,1000 USD,"Meat of goat, fresh or chilled",1961,0
Import Quantity,t,"Meat of goat, fresh or chilled",1962,0
Import Value,1000 USD,"Meat of goat, fresh or chilled",1962,0
Export Quantity,t,"Meat of goat, fresh or chilled",1962,0
Export Value,1000 USD,"Meat of goat, fresh or chilled",1962,0
Import Quantity,t,"Meat of goat, fresh or chilled",1963,0
Import Value,1000 USD,"Meat of goat, fresh or chilled",1963,0
Export Quantity,t,"Meat of goat, fresh or chilled",1963,0
Export Value,1000 USD,"Meat of goat, fresh or chilled",1963,0
Import Quantity,t,"Meat of goat, fresh or chilled",1964,0
Import Value,1000 USD,"Meat of goat, fresh or chilled",1964,0
Export Quantity,t,"Meat of goat, fresh or chilled",1964,0
Export Value,1000 USD,"Meat of goat, fresh or chilled",1964,0
Import Quantity,t,"Meat of goat, fresh or chilled",1965,0
Import Value,1000 USD,"Meat of goat, fresh or chilled",1965,0
Export Quantity,t,"Meat of goat, fresh or chilled",1965,0
Export Value,1000 USD,"Meat of goat, fresh or chilled",1965,0
Import Quantity,t,"Meat of goat, fresh or chilled",1966,0
Import Value,1000 USD,"Meat of goat, fresh or chilled",1966,0
Export Quantity,t,"Meat of goat, fresh or chilled",1966,0
